desc,amount,category,tag
סופר זול בן גו,-97.42,62865856,51228058
(אל וסינו(השכן,-60.0,62865861,51228098
קיט קט,-50.2,62865856,51228058
סופר פארטי,-453.1,62865861,51228096
בוטיק סנטרל יה,-10.0,62865861,51228059
טיב טעם יהודה,-98.49,62865856,51228058
פנגו-חניה סלול,-16.48,62865860,51228088
שרותי בריאות כ,-134.92,62865867,51438332
גרציאני,-20.0,62865861,51228059
בזיליקום פיצה,-20.0,62865861,51228059
מגה בעיר המכבי,-177.49,62865856,51228058
אושר בפיתה,-25.0,62865861,51228059
גרציאני,-27.0,62865861,51228059
רולדין יהודה ה,-32.01,62865861,51228059
שד' יהוד AM-PM,-59.6,62865856,51228058
המכולת,-16.8,62865856,51228058
רולדין יהודה ה,-42.0,62865861,51228059
קיוסק יהודה מכ,-32.0,62865856,51228058
המכולת,-35.0,62865856,51228058
טיב טעם יהודה,-129.33,62865856,51228058
רולדין יהודה ה,-70.0,62865861,51228059
קיט קט,-31.5,62865856,51228058
רולדין יהודה ה,-12.0,62865861,51228059
המכולת,-5.0,62865861,51228059
HOME MADE,-54.0,62865861,51228059
בנ BIT העברה ב,-240.0,62865858,51438676
שד' יהוד AM-PM,-35.7,62865856,51228058
המכולת,-26.0,62865861,51228059
רולדין יהודה ה,-44.17,62865861,51228059
המכולת,-33.0,62865861,51228059
טיב טעם יהודה,-196.68,62865856,51228058
קיוסק יהודה מכ,-32.0,62865856,51228058
קיוסק יהודה מכ,-18.0,62865856,51228058
קיט קט,-20.5,62865856,51228058
קיט קט,-20.3,62865856,51228058
שד' יהוד AM-PM,-45.4,62865856,51228058
מגה בעיר המכבי,-100.78,62865856,51228058
אספרסו בר,-95.0,62865861,51228059
טיב טעם יהודה,-35.38,62865856,51228058
מגה בעיר המכבי,-245.94,62865856,51228058
חומוס לבלבי,-58.0,62865861,51228059
טיב טעם יהודה,-22.9,62865856,51228058
טיב טעם יהודה,-194.21,62865856,51228058
HOME MADE,-54.0,62865861,51228059
SHI-SHI,-50.0,62865861,51228059
קליית חממה ש.מ,-37.0,62865856,51228058
מגה בעיר המכבי,-282.84,62865856,51228058
רולדין יהודה ה,-28.0,62865861,51228059
המכולת,-36.0,62865861,51228059
טיב טעם יהודה,-13.1,62865856,51228058
יורם חדד הקצב,-30.0,62865856,51228058
טיב טעם יהודה,-125.35,62865856,51228058
קיוסק יהודה מכ,-51.0,62865856,51228058
המכולת,-15.8,62865856,51228058
רולדין יהודה המכבי,-44.0,62865861,51228059
BARRIO 66,-45.0,62865861,51228059
סופר זול בן גו,-36.5,62865856,51228058
בזיליקום פיצה,-93.0,62865861,51228059
1522338 כספומט ד,-1500.0,62865858,51228066
"טיב טעם יהודה המכבי ת""א",-65.73,62865856,51228058
"טיב טעם יהודה המכבי ת""א",-203.02,62865856,51228058
רולדין יהודה המכבי,-30.45,62865861,51228059
פיירוז רוטאנה קפה,-107.0,62865861,51228059
LIM*ADD BALANCE,-50.0,62865860,51438346
1522338 כספומט ד,-4000.0,62865858,51228066
הראל בטוח-י,-1049.16,62865867,51438357
טיב טעם יהודה,-69.4,62865856,51228058
פריים פארם יהו,-75.8,62865856,51438194
רוי שוקולד יד,-168.0,62865865,51438182
קרטרס גן העיר,-89.9,62865857,51228063
שרון חן,-120.0,62865859,51228081
טורטה דלה נונה,-8.0,62865861,51228059
אספרסו בר,-12.0,62865861,51228059
העברה מהחשבון,-4200.0,62865863,51228112
עולם הממתקים ש,-45.0,62865861,51228059
זארה רמת אביב,-645.2,62865857,51228063
טופ שופ רמת אב,-299.9,62865857,51228063
הירקניה,-52.3,62865856,51228058
כימרה,-131.0,62865857,51228063
רולדין יהודה ה,-23.0,62865861,51228059
חניון ק.אביב,-11.0,62865860,51228088
WIND MOBILITY GMBH BERLIN DE,-14.5,62865860,51438346
WIND MOBILITY GMBH BERLIN DE,-13.5,62865860,51438346
00295 הלוואה - תשלום ריבית (תאריך ערך 02/12),-31.12,62865867,51438344
רב קו אונליין אגד,-100.0,62865860,51228090
טיב טעם יהודה,-49.4,62865856,51228058
APPLE.COM/BILL ITUNES.COM IE,-3.9,62865861,51228069
רובין הוד,-20.0,62865861,51228104
טיב טעם יהודה,-110.33,62865856,51228058
קיוסק יהודה מכ,-32.0,62865861,51228059
עמל.ערוץ יש 8,-13.2,62865867,51438343
